,noisy_letter_grade
0,2
1,1
2,1
3,2
4,2
5,1
6,3
7,1
8,4
9,2
10,2
11,1
12,2
13,3
14,3
15,1
16,0
17,4
18,1
19,1
20,1
21,2
22,2
23,0
24,2
25,2
26,0
27,4
28,1
29,1
30,0
31,0
32,3
33,2
34,0
35,2
36,3
37,1
38,2
39,0
40,1
41,3
42,2
43,0
44,1
45,0
46,1
47,3
48,2
49,0
50,0
51,2
52,4
53,3
54,1
55,3
56,4
57,1
58,0
59,2
60,1
61,1
62,1
63,0
64,0
65,1
66,0
67,4
68,0
69,4
70,1
71,0
72,3
73,1
74,2
75,1
76,0
77,2
78,1
79,4
80,0
81,0
82,1
83,3
84,3
85,0
86,0
87,1
88,4
89,1
90,2
91,3
92,1
93,4
94,1
95,3
96,0
97,3
98,0
99,2
100,1
101,2
102,1
103,0
104,3
105,3
106,4
107,1
108,0
109,0
110,2
111,2
112,2
113,0
114,3
115,1
116,0
117,1
118,0
119,0
120,1
121,2
122,3
123,4
124,0
125,0
126,0
127,4
128,4
129,3
130,0
131,2
132,1
133,3
134,3
135,4
136,0
137,3
138,3
139,0
140,4
141,3
142,3
143,1
144,4
145,4
146,0
147,1
148,4
149,1
150,4
151,0
152,4
153,2
154,1
155,2
156,4
157,3
158,3
159,1
160,4
161,0
162,2
163,1
164,1
165,4
166,1
167,4
168,1
169,4
170,0
171,0
172,1
173,4
174,1
175,1
176,3
177,1
178,3
179,4
180,2
181,1
182,2
183,0
184,3
185,3
186,3
187,1
188,2
189,1
190,3
191,4
192,1
193,3
194,1
195,1
196,2
197,3
198,3
199,3
200,0
201,0
202,2
203,2
204,1
205,3
206,3
207,2
208,3
209,3
210,4
211,4
212,4
213,0
214,2
215,0
216,2
217,2
218,1
219,3
220,0
221,2
222,0
223,4
224,3
225,3
226,0
227,3
228,2
229,0
230,3
231,3
232,2
233,4
234,0
235,1
236,0
237,2
238,3
239,1
240,1
241,2
242,2
243,0
244,0
245,1
246,1
247,2
248,0
249,0
250,0
251,0
252,3
253,1
254,1
255,1
256,0
257,0
258,4
259,3
260,3
261,2
262,0
263,1
264,4
265,3
266,0
267,3
268,1
269,2
270,1
271,4
272,4
273,2
274,1
275,0
276,3
277,4
278,2
279,4
280,2
281,0
282,0
283,2
284,0
285,1
286,4
287,1
288,2
289,2
290,3
291,0
292,3
293,1
294,0
295,0
296,1
297,1
298,2
299,4
300,2
301,1
302,0
303,1
304,2
305,4
306,4
307,0
308,1
309,3
310,2
311,3
312,2
313,1
314,2
315,2
316,1
317,1
318,4
319,2
320,1
321,2
322,0
323,2
324,4
325,3
326,2
327,0
328,2
329,1
330,1
331,1
332,4
333,2
334,2
335,2
336,1
337,0
338,4
339,0
340,1
341,0
342,2
343,2
344,4
345,0
346,1
347,4
348,2
349,3
350,0
351,2
352,1
353,4
354,4
355,4
356,2
357,0
358,1
359,0
360,2
361,2
362,3
363,0
364,1
365,0
366,1
367,3
368,1
369,0
370,1
371,1
372,2
373,0
374,0
375,1
376,3
377,4
378,4
379,2
380,0
381,1
382,3
383,0
384,2
385,1
386,1
387,0
388,0
389,1
390,1
391,4
392,3
393,4
394,0
395,2
396,4
397,0
398,3
399,2
400,2
401,1
402,2
403,3
404,0
405,2
406,2
407,1
408,1
409,0
410,0
411,1
412,4
413,0
414,0
415,2
416,0
417,2
418,0
419,0
420,3
421,3
422,3
423,0
424,1
425,2
426,1
427,4
428,2
429,4
430,1
431,4
432,0
433,4
434,4
435,1
436,2
437,4
438,0
439,0
440,1
441,2
442,2
443,1
444,0
445,4
446,0
447,1
448,2
449,2
450,0
451,3
452,2
453,0
454,1
455,3
456,3
457,4
458,2
459,3
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,3
468,0
469,1
470,1
471,2
472,1
473,2
474,1
475,1
476,4
477,0
478,3
479,2
480,0
481,2
482,2
483,0
484,2
485,0
486,3
487,3
488,2
489,1
490,0
491,4
492,3
493,1
494,1
495,1
496,0
497,1
498,3
499,1
500,2
501,1
502,3
503,0
504,1
505,0
506,1
507,0
508,3
509,0
510,3
511,0
512,3
513,4
514,0
515,0
516,0
517,4
518,3
519,4
520,3
521,4
522,3
523,4
524,2
525,0
526,3
527,1
528,4
529,4
530,2
531,0
532,1
533,2
534,3
535,4
536,1
537,2
538,2
539,4
540,4
541,0
542,0
543,0
544,1
545,4
546,3
547,3
548,4
549,2
550,4
551,2
552,4
553,0
554,2
555,2
556,0
557,2
558,2
559,1
560,3
561,3
562,3
563,1
564,1
565,3
566,1
567,4
568,0
569,1
570,4
571,1
572,1
573,1
574,2
575,3
576,2
577,0
578,0
579,4
580,1
581,0
582,3
583,3
584,0
585,0
586,2
587,2
588,0
589,4
590,3
591,0
592,4
593,1
594,4
595,3
596,0
597,4
598,0
599,3
600,2
601,2
602,1
603,1
604,1
605,1
606,1
607,1
608,0
609,1
610,2
611,3
612,4
613,0
614,3
615,1
616,0
617,2
618,4
619,4
620,0
621,3
622,1
623,2
624,3
625,0
626,1
627,0
628,1
629,0
630,0
631,0
632,0
633,0
634,2
635,1
636,1
637,0
638,1
639,0
640,0
641,3
642,0
643,1
644,2
645,2
646,4
647,2
648,0
649,3
650,4
651,3
652,3
653,3
654,1
655,1
656,0
657,1
658,1
659,0
660,0
661,1
662,1
663,3
664,1
665,0
666,4
667,3
668,1
669,0
670,2
671,0
672,2
673,4
674,2
675,0
676,4
677,0
678,3
679,4
680,0
681,3
682,1
683,0
684,4
685,1
686,4
687,2
688,0
689,1
690,1
691,0
692,4
693,1
694,4
695,2
696,1
697,0
698,0
699,0
700,2
701,1
702,4
703,2
704,1
705,0
706,4
707,1
708,0
709,4
710,4
711,3
712,0
713,4
714,1
715,2
716,1
717,2
718,2
719,4
720,1
721,2
722,0
723,0
724,4
725,1
726,2
727,4
728,3
729,2
730,2
731,4
732,1
733,3
734,2
735,1
736,1
737,0
738,0
739,0
740,3
741,1
742,2
743,1
744,4
745,0
746,3
747,3
748,3
749,2
750,2
751,1
752,1
753,1
754,4
755,3
756,0
757,1
758,0
759,4
760,0
761,4
762,2
763,4
764,0
765,4
766,0
767,0
768,3
769,1
770,1
771,1
772,3
773,2
774,4
775,0
776,3
777,2
778,1
779,0
780,2
781,4
782,0
783,1
784,3
785,1
786,0
787,4
788,1
789,1
790,1
791,3
792,2
793,0
794,0
795,4
796,1
797,2
798,2
799,3
800,4
801,1
802,4
803,0
804,1
805,4
806,4
807,1
808,4
809,1
810,0
811,4
812,2
813,1
814,3
815,0
816,0
817,4
818,2
819,1
820,0
821,0
822,4
823,1
824,1
825,1
826,4
827,3
828,0
829,2
830,2
831,2
832,1
833,2
834,0
835,4
836,4
837,1
838,2
839,1
840,1
841,3
842,2
843,0
844,1
845,0
846,0
847,0
848,1
849,3
850,3
851,0
852,2
853,0
854,0
855,1
856,3
857,0
858,4
859,1
860,2
861,1
862,3
863,1
864,3
865,4
866,0
867,1
868,0
869,1
870,1
871,1
872,4
873,1
874,0
875,3
876,2
877,0
878,2
879,0
880,1
881,3
882,3
883,1
884,3
885,0
886,3
887,1
888,3
889,3
890,1
891,1
892,4
893,2
894,2
895,1
896,1
897,3
898,4
899,0
900,4
901,0
902,0
903,1
904,4
905,2
906,3
907,2
908,0
909,0
910,3
911,0
912,2
913,2
914,3
915,1
916,1
917,2
918,4
919,3
920,0
921,4
922,1
923,3
924,1
925,2
926,1
927,1
928,4
929,0
930,1
931,0
932,2
933,0
934,4
935,0
936,4
937,4
938,4
939,1
940,2
